Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
0.07	0.307	0.228545543129907	0.819222154518249	maxtemp	X1_Uganda_2	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.285	0.254	-1.12523780478155	0.260488277194028	mintemp	X1_Uganda_2	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.924726617087863	0.355108130410888	precipitation	X1_Uganda_2	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.0141	0.0319	-0.441589516397689	0.658786271625136	precseason	X1_Uganda_2	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.0068	0.0107	-0.632436319592487	0.527101807519473	tempseason	X1_Uganda_2	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
5.3	3.9	1.37455490439082	0.169269477489733	(Intercept)	X1_Uganda_2	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
-0.11	0.14	-0.780393743187727	0.435159149561838	abslat	X1_Uganda_2	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.776868823388077	0.437236166686975	popdens	X1_Uganda_2	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
-0.243	0.168	-1.44274969359585	0.149090995050152	mintemp	X1_Uganda_2	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.903917610523335	0.366039090356541	precipitation	X1_Uganda_2	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
-0.0105	0.0275	-0.3829796307443	0.701734867097319	precseason	X1_Uganda_2	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
-0.0052	0.008	-0.655994171578382	0.511827874343214	tempseason	X1_Uganda_2	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
4.91	3.76	1.30658952173916	0.191352157194223	(Intercept)	X1_Uganda_2	abslat + popdens + mintemp + precipitation + tempseason	TRUE
-0.119	0.13	-0.918872765969375	0.358162126275262	abslat	X1_Uganda_2	abslat + popdens + mintemp + precipitation + tempseason	TRUE
0	0	0.760700814127741	0.44683578844008	popdens	X1_Uganda_2	abslat + popdens + mintemp + precipitation + tempseason	TRUE
-0.277	0.148	-1.87510368697284	0.060778460435632	mintemp	X1_Uganda_2	abslat + popdens + mintemp + precipitation + tempseason	TRUE
0	0	-0.851254452813712	0.3946280202846	precipitation	X1_Uganda_2	abslat + popdens + mintemp + precipitation + tempseason	TRUE
-0.0055	0.0076	-0.718394505735402	0.472514073554904	tempseason	X1_Uganda_2	abslat + popdens + mintemp + precipitation + tempseason	TRUE
4.6093	3.1196	1.47752476357432	0.139535025264329	(Intercept)	X1_Uganda_2	abslat + popdens + mintemp + precipitation	TRUE
0	0	-2.34543680866716	0.0190047998251748	abslat	X1_Uganda_2	abslat + popdens + mintemp + precipitation	TRUE
